# Px, Py, Pz
2.215620 -0.755216 -0.066108
3.355230 0.020764 1.376510
1.960920 -0.858199 1.330740
2.663160 -1.440070 -1.261220
1.760470 -2.290640 -0.935743
2.427520 -2.948380 -1.279020
2.064330 -2.625450 -1.030260
1.706220 -4.276980 0.305981
1.913030 -2.666550 1.043810
1.607480 -2.183840 1.771060
1.828690 -2.156300 0.903966
2.598740 -1.751990 1.417610
1.901170 -1.775720 1.472710
1.004400 -1.560860 1.394310
0.970929 -0.854373 1.600690
0.255972 -0.776401 0.670452
-0.270797 -0.696303 1.987200
0.252585 -0.744613 0.701808
0.905241 -0.723856 1.843960
1.801580 -1.069260 0.413634
0.172492 0.653077 0.064422
0.787417 -1.220550 0.297935
-0.028818 -0.784456 -1.504070
0.142398 -1.651130 -0.020337
-0.310221 -1.701560 0.141544
-1.123070 -1.651130 -0.023728
-0.476773 -2.274110 0.252575
-1.201880 -0.325905 0.525927
-1.493040 -0.275894 0.739941
-0.526365 -0.784453 -1.258690
-1.054000 -1.012040 -1.212070
0.261909 -0.683156 -1.884640
-1.532470 -0.668762 -1.009070
-2.107980 0.431859 -2.068570
-1.222650 1.519750 -1.467620
-0.623409 1.837190 -1.772320
0.495420 2.330050 -1.800720
-0.564924 1.889720 -2.892440
0.914126 2.346150 -2.932270
0.573399 2.772080 -1.869810
0.397531 1.696050 -2.124510
-0.364045 1.245550 -2.461440
-0.116124 0.682317 -2.803010
-1.529490 0.756483 -2.413120
-0.255549 0.626807 -3.623910
-0.607307 0.431417 -2.772490
-0.328868 -0.191137 -2.188500
-0.313621 1.179010 -2.198670
0.201307 0.843791 -1.994820
0.641210 1.083650 -1.390490
-0.139014 1.856250 -3.929480
-0.852258 1.871920 -4.051950
-0.392013 2.844120 -4.160030
0.075860 3.206060 -4.072300
-0.668760 2.524580 -5.047890
-1.611290 2.424980 -4.126970
-1.628660 2.429650 -5.598820
-2.845820 1.706220 -4.986850
-2.462280 0.612395 -4.561790
-2.761480 -0.189865 -3.598060
-2.116030 -0.719190 -3.789610
-1.015000 -0.524247 -3.566710
-0.191562 0.803519 -5.292850
-1.583730 0.359810 -3.824370
-0.266989 0.112307 -4.082460
-1.017970 1.679940 -4.160020
-0.667068 0.487372 -3.759960
-1.290050 0.303861 -3.944310
0.461520 -0.361500 -4.188420
-0.279715 1.446420 -4.192220
0.334377 1.629930 -4.996600
-0.452194 2.313950 -4.609250
-0.749704 2.064760 -3.933290
-0.864129 2.777580 -4.983890
-0.448389 2.094840 -4.447360
-1.182400 2.792410 -2.561450
-1.274790 2.903030 -3.574330
-0.930238 2.958120 -2.913640
-1.260810 2.318190 -1.656630
-2.401250 2.478380 -1.962620
-2.167310 3.255210 -1.026450
-2.645360 2.911070 -0.904814
